,Store ID,Name,Brand,Store Number,Phone Number,Ownership Type,Street Combined,Street 1,Street 2,Street 3,City,State,Country,Postal Code,Coordinates,Latitude,Longitude,Timezone,Current Timezone Offset,Olson Timezone,First Seen,Mon,Tue,Wed,Thu,Fri,Sat,Sun
18793,1006859,Nariman Point,Starbucks,22539-222210,,JV,"Ground Floor, Shree Nirmal Building, Behind Trident Hotel, Nariman Point","Ground Floor, Shree Nirmal Building","Behind Trident Hotel, Nariman Point",,Mumbai,MH,IN,400021,"(18.9276084899902, 72.8219833374023)",18.92760849,72.82198334,India Standard Time,330,GMT+05:30 Asia/New_Delhi,05/30/2014 04:00:00 AM,339,151,339,391,517,590,401
18896,1007208,Goregaon East- Nirlon KnowledgePark,Starbucks,22935-226264,,JV,"Grd floor,Block B6,Nirlon Knowledge Pk, Off Western Express Highway","Grd floor,Block B6,Nirlon Knowledge Pk",Off Western Express Highway,,Mumbai,MH,IN,400063,"(19.1553707122803, 72.853759765625)",19.15537071,72.85375977,India Standard Time,330,GMT+05:30 Asia/New_Delhi,06/25/2014 04:00:00 AM,302,195,396,280,455,583,432
18980,1006818,Lower Parel - High Street Phoenix,Starbucks,21967-216487,,JV,"First floor, High Street Phoenix Mall, Senapati Bapat Marg, Lower Parcel","First floor, High Street Phoenix Mall","Senapati Bapat Marg, Lower Parcel",,Mumbai,MH,IN,400013,"(18.9950084686279, 72.8245620727539)",18.99500847,72.82456207,India Standard Time,330,GMT+05:30 Asia/New_Delhi,07-11-2014 04:00,379,103,397,373,545,523,365
18982,1007421,Prabhadevi,Starbucks,22456-221251,,JV,"Upper Ground Floor, Century Bhavan, Century Bazaar, Prabhadevi","Upper Ground Floor, Century Bhavan","Century Bazaar, Prabhadevi",,Mumbai,MH,IN,400030,"(19.0126533508301, 72.8236389160156)",19.01265335,72.82363892,India Standard Time,330,GMT+05:30 Asia/New_Delhi,07-11-2014 04:00,333,193,345,398,543,511,418
19025,1007127,Velachery,Starbucks,23145-228267,,JV,"Upper Ground Floor, Phoenix marketcity, Velachery Main Road","Upper Ground Floor, Phoenix marketcity",Velachery Main Road,,Chennai,TN,IN,600042,"(12.9916944503784, 80.2170257568359)",12.99169445,80.21702576,India Standard Time,330,GMT+05:30 Asia/New_Delhi,07/17/2014 04:00:00 AM,341,122,301,311,496,549,448
19073,1006850,Andheri West - Infiniti Mall,Starbucks,22452-221250,,JV,"Ground Floor, Infiniti Mall, New Link Road, Andheri (West)","Ground Floor, Infiniti Mall","New Link Road, Andheri (West)",,Mumbai,MH,IN,400053,"(19.1413059234619, 72.8308868408203)",19.14130592,72.83088684,India Standard Time,330,GMT+05:30 Asia/New_Delhi,07/24/2014 04:00:00 AM,360,114,377,298,548,534,361
19317,1007130,Sadashiv Nagar,Starbucks,23148-228268,,JV,"403, Ground Floor, 8th Main Road, Sadashiv Nagar","403, Ground Floor","8th Main Road, Sadashiv Nagar",,Bangalore,KA,IN,560080,"(13.0089225769043, 77.5801620483398)",13.00892258,77.58016205,US Mountain Standard Time,-420,GMT+05:30 Asia/New_Delhi,08/27/2014 04:00:00 AM,257,142,288,367,504,532,374
19324,1008784,JP Nagar,Starbucks,23293-229025,,JV,"100 feet ring road, K.A.S Officer, KAS Off HBCS layout,4th Phase,JP Nagar","100 feet ring road, K.A.S Officer","KAS Off HBCS layout,4th Phase,JP Nagar",,Bangalore,KA,IN,560078,"(12.9060096740723, 77.5937728881836)",12.90600967,77.59377289,Mountain Standard Time (Mexico),-420,GMT+05:30 Asia/New_Delhi,08/27/2014 04:00:00 AM,284,128,331,320,489,532,401
19468,1006891,Girgaon Chowpatty,Starbucks,22934-226265,,JV,"Shree Krishna Hindu Merchant Club, By Wilson College,Girgaon Chowpatty",Shree Krishna Hindu Merchant Club,"By Wilson College,Girgaon Chowpatty",,Mumbai,MH,IN,400007,"(18.9563045501709, 72.8119277954102)",18.95630455,72.8119278,India Standard Time,330,GMT+05:30 Asia/New_Delhi,09/21/2014 04:00:00 AM,330,135,353,369,501,560,434
19719,1006847,Kharadi,Starbucks,22444-221266,,JV,"Ground Floor, EON Free Zone, Cluster A, MIDC, Kharadi Knowledge Park","Ground Floor, EON Free Zone, Cluster A","MIDC, Kharadi Knowledge Park",,Pune,MH,IN,411014,"(18.5512065887451, 73.9511260986328)",18.55120659,73.9511261,India Standard Time,330,GMT+05:30 Asia/New_Delhi,10/17/2014 04:00:00 AM,299,112,378,373,465,550,449
19720,1007131,Malleswaram - Mantri Mall,Starbucks,23150-228269,,JV,"Upper grd flr,Mantri Mall,Mantri Sq No1, Sampangiram Nagar, Malleswaram","Upper grd flr,Mantri Mall,Mantri Sq No1","Sampangiram Nagar, Malleswaram",,Bangalore,KA,IN,560003,"(12.9915790557861, 77.5709762573242)",12.99157906,77.57097626,India Standard Time,330,GMT+05:30 Asia/New_Delhi,10/17/2014 04:00:00 AM,353,131,260,390,462,542,402
19733,1009039,Jubilee Hills,Starbucks,23180-228545,,JV,"Ground Floor, Road No. 92, Near Apollo hospital, Jubilee Hills","Ground Floor, Road No. 92","Near Apollo hospital, Jubilee Hills",,Hyderabad,AP,IN,500033,"(17.4167079925537, 78.4170684814453)",17.41670799,78.41706848,India Standard Time,330,GMT+05:30 Asia/New_Delhi,10/17/2014 04:00:00 AM,381,170,291,434,479,511,372
19742,1009961,Whitefield,Starbucks,24432-237928,,JV,"Ground floor, Prestige Shantiniketan, Crescent 4, Whitefield Main Road","Ground floor, Prestige Shantiniketan","Crescent 4, Whitefield Main Road",,Bangalore,KA,IN,560048,"(12.9911317825317, 77.7292938232422)",12.99113178,77.72929382,India Standard Time,330,GMT+05:30 Asia/New_Delhi,10/17/2014 04:00:00 AM,251,158,348,435,468,566,365
20041,1007103,Bandra East - The Capital,Starbucks,21709-214285,,JV,"Ground Floor, The Capital, Bandra Kurla Complex, Bandra (East)","Ground Floor, The Capital","Bandra Kurla Complex, Bandra (East)",,Mumbai,MH,IN,400051,"(19.0607986450195, 72.8648300170898)",19.06079865,72.86483002,India Standard Time,330,GMT+05:30 Asia/New_Delhi,12-04-2014 05:00,383,185,256,341,466,564,406
20042,1007438,Kukatpally,Starbucks,23191-228548,,JV,"Upper Ground Floor, Forum Sujana Mall, Kukatpally","Upper Ground Floor, Forum Sujana Mall",Kukatpally,,Hyderabad,AP,IN,500072,"(17.4838447570801, 78.3889083862305)",17.48384476,78.38890839,India Standard Time,330,GMT+05:30 Asia/New_Delhi,12-04-2014 05:00,303,127,393,402,512,532,388
20046,1008783,Chhatrapati Shivaji Intnl-T2Arrival,Starbucks,23292-229027,,JV,"International Arrivals, Andheri (East)",International Arrivals,Andheri (East),,Mumbai,MH,IN,400099,"(19.0993213653564, 72.8747253417969)",19.09932137,72.87472534,India Standard Time,330,GMT+05:30 Asia/New_Delhi,12-04-2014 05:00,355,165,339,292,468,539,402
20285,1010298,Kurla West,Starbucks,24456-238128,,JV,"First Floor, Phoenix Market City, Lal Bahadur Shastri Marg, Kurla (West)","First Floor, Phoenix Market City","Lal Bahadur Shastri Marg, Kurla (West)",,Mumbai,MH,IN,400070,"(19.0863819122314, 72.8892517089844)",19.08638191,72.88925171,India Standard Time,330,GMT+05:30 Asia/New_Delhi,12/31/2014 05:00:00 AM,253,141,361,299,541,573,391
20286,1010299,Hi-Tech City,Starbucks,24457-238129,,JV,"Upper Ground Floor, Phoenix tower A, Opposite Trident Hotel, Madhapur Village","Upper Ground Floor, Phoenix tower A","Opposite Trident Hotel, Madhapur Village",,Hyderabad,AP,IN,500084,"(17.4478034973145, 78.3789672851563)",17.4478035,78.37896729,India Standard Time,330,GMT+05:30 Asia/New_Delhi,12/31/2014 05:00:00 AM,303,144,309,328,507,542,407
20428,1010018,Andheri West - Four Bunglows,Starbucks,24458-238127,,JV,"Kokilaben Dhirubhai Ambani Hospital, Four Bunglows, Andheri (West)",Kokilaben Dhirubhai Ambani Hospital,"Four Bunglows, Andheri (West)",,Mumbai,MH,IN,400053,"(19.1312313079834, 72.8247604370117)",19.13123131,72.82476044,India Standard Time,330,GMT+05:30 Asia/New_Delhi,01/28/2015 05:00:00 AM,395,161,362,332,504,543,388
20459,1011414,Vasant Kunj - DLF Promenade,Starbucks,24736-238828,,JV,"First Floor, DLF Promenade, Vasant Kunj","First Floor, DLF Promenade",Vasant Kunj,,New Delhi,DL,IN,110070,"(28.5425758361816, 77.1557235717773)",28.54257584,77.15572357,India Standard Time,330,GMT+05:30 Asia/New_Delhi,02-03-2015 05:00,293,156,251,341,539,528,363
20495,1011485,Anna Nagar,Starbucks,25269-240401,,JV,"TBR tower, Y block, 2nd Avenue, Near Ayyappa Temple, Anna Nagar","TBR tower, Y block, 2nd Avenue","Near Ayyappa Temple, Anna Nagar",,Chennai,TN,IN,600040,"(13.0850744247437, 80.2124252319336)",13.08507442,80.21242523,India Standard Time,330,GMT+05:30 Asia/New_Delhi,02-12-2015 05:00,263,105,378,378,539,512,444
20521,1011446,Sohna Road -,Starbucks,24737-238830,,JV,"Grd Flr, Block C, Vatika Business Park, Sector 49, Sohna Road","Grd Flr, Block C, Vatika Business Park","Sector 49, Sohna Road",,Gurgaon,HR,IN,122001,"(28.406099319458, 77.0452423095703)",28.40609932,77.04524231,India Standard Time,330,GMT+05:30 Asia/New_Delhi,02/18/2015 05:00:00 AM,344,127,297,448,511,511,354
20559,1008781,Madhapur,Starbucks,23193-228546,,JV,"Lower Ground Floor, Inorbit Mall, Madhapur","Lower Ground Floor, Inorbit Mall",Madhapur,,Hyderabad,AP,IN,500081,"(17.4340915679932, 78.3868255615234)",17.43409157,78.38682556,India Standard Time,330,GMT+05:30 Asia/New_Delhi,02/28/2015 05:00:00 AM,297,127,389,298,472,594,384
20564,1009750,FC Road,Starbucks,23144-228270,,JV,"Mosaic Ground Floor West, Across Fergusson College Gate 2, FC Rd",Mosaic Ground Floor West,"Across Fergusson College Gate 2, FC Rd",,Pune,MH,IN,411004,"(18.5225429534912, 73.8412475585938)",18.52254295,73.84124756,India Standard Time,330,GMT+05:30 Asia/New_Delhi,02/28/2015 05:00:00 AM,264,143,286,388,458,545,436
20726,1009769,Banjara Hills,Starbucks,23149-228271,,JV,"Lower Ground Floor, GVK One, Road Number 1, Banjara Hills","Lower Ground Floor, GVK One","Road Number 1, Banjara Hills",,Hyderabad,AP,IN,500034,"(17.4194087982178, 78.4484710693359)",17.4194088,78.44847107,India Standard Time,330,GMT+05:30 Asia/New_Delhi,05/20/2015 04:00:00 AM,289,183,258,306,461,501,442
20821,1011504,Royapettah,Starbucks,25647-242045,,JV,"Ground Floor, Express Avenue Mall, Whites Road, Royapettah","Ground Floor, Express Avenue Mall","Whites Road, Royapettah",,Chennai,TN,IN,600014,"(13.0586614608765, 80.2640762329102)",13.05866146,80.26407623,India Standard Time,330,GMT+05:30 Asia/New_Delhi,05/20/2015 04:00:00 AM,331,129,348,449,450,534,424
20845,1011653,Subhash Nagar,Starbucks,23666-232345,,JV,"Ground Floor, Pacific Mall, Subhash Nagar","Ground Floor, Pacific Mall",Subhash Nagar,,New Delhi,DL,IN,110018,"(28.6422920227051, 77.1063537597656)",28.64229202,77.10635376,India Standard Time,330,GMT+05:30 Asia/New_Delhi,05/20/2015 04:00:00 AM,360,161,396,360,507,586,367
20875,1011678,M G Road,Starbucks,25654-241824,,JV,"Upper Ground Floor, MGF Metropolis, M G Road","Upper Ground Floor, MGF Metropolis",M G Road,,Gurgaon,HR,IN,122002,"(28.4801197052002, 77.0802764892578)",28.48011971,77.08027649,India Standard Time,330,GMT+05:30 Asia/New_Delhi,05/20/2015 04:00:00 AM,302,174,297,425,450,580,425
20889,1011719,Indira Gandhi International Airport,Starbucks,25522-241268,,JV,"Domestic Departure, Terminal 1D",Domestic Departure,Terminal 1D,,New Delhi,DL,IN,110037,"(28.5626983642578, 77.1194610595703)",28.56269836,77.11946106,India Standard Time,330,GMT+05:30 Asia/New_Delhi,05/20/2015 04:00:00 AM,273,191,380,401,483,589,358
21063,1009477,R K Puram,Starbucks,23392-229965,,JV,"Sangam Courtyard, Major Somnath Marg, Sector 9, R.K Puram",Sangam Courtyard,"Major Somnath Marg, Sector 9, R.K Puram",,New Delhi,DL,IN,110021,"(28.5726642608643, 77.1735305786133)",28.57266426,77.17353058,India Standard Time,330,GMT+05:30 Asia/New_Delhi,06-06-2015 04:00,373,188,397,429,545,507,423
21700,1009843,Bandra West - Link corner,Starbucks,24199-236567,,JV,"Off Linking Road, Corner of 24th & 33rd Rd, Bandra West",Off Linking Road,"Corner of 24th & 33rd Rd, Bandra West",,Mumbai,MH,IN,400050,"(19.0655384063721, 72.8331756591797)",19.06553841,72.83317566,India Standard Time,330,GMT+05:30 Asia/New_Delhi,07/30/2015 04:00:00 AM,290,161,303,404,497,592,407
21705,1012310,Numgambakkam,Starbucks,26083-243525,,JV,"Ground Floor, Bergamo Mall, Khadar Nawas Khan Road","Ground Floor, Bergamo Mall",Khadar Nawas Khan Road,,Chennai,TN,IN,600006,"(13.0606746673584, 80.2511978149414)",13.06067467,80.25119781,India Standard Time,330,GMT+05:30 Asia/New_Delhi,07/30/2015 04:00:00 AM,264,196,369,291,538,525,366
22103,1013108,Alwarpet,Starbucks,27719-248626,,JV,"Ground Floor, MGN Splendor, Off Chamiers Road, Alwarpet","Ground Floor, MGN Splendor","Off Chamiers Road, Alwarpet",,Chennai,TN,IN,600018,"(13.0292959213257, 80.2484741210938)",13.02929592,80.24847412,India Standard Time,330,GMT+05:30 Asia/New_Delhi,09/23/2015 04:00:00 AM,294,100,365,378,450,573,356
22287,1011732,Vikhroli East,Starbucks,24734-238829,,JV,"Ground Floor, Godrej One Building, Pirojshanagar, Vikhroli (East)","Ground Floor, Godrej One Building","Pirojshanagar, Vikhroli (East)",,Mumbai,MH,IN,400079,"(19.0939350128174, 72.9230499267578)",19.09393501,72.92304993,India Standard Time,330,GMT+05:30 Asia/New_Delhi,10-07-2015 04:00,314,126,324,435,465,589,395
22622,1013495,Hauz Khas,Starbucks,27717-248629,,JV,"Ground Floor, Power House, Hauz Khas Village, Hauz Khas","Ground Floor, Power House","Hauz Khas Village, Hauz Khas",,New Delhi,DL,IN,110016,"(28.5540676116943, 77.1944122314453)",28.55406761,77.19441223,India Standard Time,330,GMT+05:30 Asia/New_Delhi,11/21/2015 05:00:00 AM,338,161,362,411,510,533,362
22883,1013432,Malad West - Inorbit Mall,Starbucks,26081-243527,,JV,"Ground Floor, Inorbit Mall, Link Road,  Malad (West)","Ground Floor, Inorbit Mall","Link Road,  Malad (West)",,Mumbai,MH,IN,400064,"(19.1726970672607, 72.83544921875)",19.17269707,72.83544922,India Standard Time,330,GMT+05:30 Asia/New_Delhi,12/24/2015 05:00:00 AM,320,176,353,317,513,506,389
23248,1014076,Lower Parel - Marathon Futurex,Starbucks,26080-243526,,JV,"Upper Ground Floor, Marathon Futurex, NM Joshi Marg, Lower Parel","Upper Ground Floor, Marathon Futurex","NM Joshi Marg, Lower Parel",,Mumbai,MH,IN,400013,"(18.9950466156006, 72.8312377929688)",18.99504662,72.83123779,India Standard Time,330,GMT+05:30 Asia/New_Delhi,02/24/2016 05:00:00 AM,258,102,333,313,512,567,391
23250,1013351,Vile Parle West,Starbucks,25658-242046,,JV,"Grd Flr, Tian Star, 48 Gulmohar Road, Juhu Scheme, Vile Parle (West)","Grd Flr, Tian Star, 48 Gulmohar Road","Juhu Scheme, Vile Parle (West)",,Mumbai,MH,IN,400049,"(19.113317489624, 72.8347473144531)",19.11331749,72.83474731,India Standard Time,330,GMT+05:30 Asia/New_Delhi,02/25/2016 05:00:00 AM,337,169,361,444,518,557,358
23333,1013604,Sector 16,Starbucks,25065-239844,,JV,"Ground Floor, Gardens Galleria, Sector 16","Ground Floor, Gardens Galleria",Sector 16,,Noida,UP,IN,201301,"(28.5672473907471, 77.3256378173828)",28.56724739,77.32563782,India Standard Time,330,GMT+05:30 Asia/New_Delhi,03/16/2016 04:00:00 AM,378,171,348,300,471,574,399
23511,1008782,Chhatrapati Shivaji International A,Starbucks,23290-229028,,JV,"T2 Departure SHA, Level P9, Food Court, Andheri (East)","T2 Departure SHA, Level P9","Food Court, Andheri (East)",,Mumbai,MH,IN,400099,"(19.0959987640381, 72.8754730224609)",19.09599876,72.87547302,India Standard Time,330,GMT+05:30 Asia/New_Delhi,04/13/2016 04:00:00 AM,385,126,342,373,542,528,376
23549,1006862,Greater Kailash 2,Starbucks,22572-222668,,JV,"Ground Floor, M-11, M-Block, Main Mrkt, Greater Kailash Pt2","Ground Floor, M-11","M-Block, Main Mrkt, Greater Kailash Pt2",,New Delhi,DL,IN,110048,"(28.5340881347656, 77.2428359985352)",28.53408813,77.242836,India Standard Time,330,GMT+05:30 Asia/New_Delhi,04/21/2016 04:00:00 AM,312,108,395,324,516,535,415
24069,1013433,Bandra East - One BKC,Starbucks,26082-243524,,JV,"A wing, Ground Floor, One BKC, G Block,BandraBurlaComplex,BandraEast","A wing, Ground Floor, One BKC","G Block,BandraBurlaComplex,BandraEast",,Mumbai,MH,IN,400 051,"(19.0566005706787, 72.8519897460938)",19.05660057,72.85198975,India Standard Time,330,GMT+05:30 Asia/New_Delhi,08-02-2016 04:00,388,161,377,427,525,588,354
25056,1015283,One Horizon Center,Starbucks,29490-254064,,JV,Golf Course Road,Golf Course Road,,,Gurgaon,HR,IN,122003,"(28.4756698608398, 77.0937881469727)",28.47566986,77.09378815,India Standard Time,330,GMT+05:30 Asia/New_Delhi,11-04-2016 04:00,330,136,359,426,475,520,378
